task_id,stock_code,priority,next_action,historical_name,current_chinese_name,evidence_requirements,search_terms,profile_evidence_url,resolution_evidence_url,task_status
HKCONT-00042-HK,00042.HK,0,review_issuer_identity_and_industry,东北电气发展股份有限公司,東北電氣發展股份有限公司 - H股,港交所更名/上市文件或年报；当前主营业务及行业证据；如为H股同时核验A股关系,东北电气发展股份有限公司 | 東北電氣發展股份有限公司 - H股,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=42,,pending
HKCONT-00600-HK,00600.HK,0,review_issuer_identity_and_industry,中国基建投资有限公司,愛芯元智半導體股份有限公司 - H股,港交所更名/上市文件或年报；当前主营业务及行业证据；如为H股同时核验A股关系,中国基建投资有限公司 | 愛芯元智半導體股份有限公司 - H股,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=600,,pending
HKCONT-00607-HK,00607.HK,0,review_issuer_identity_and_industry,丰盛控股有限公司,豐盛控股有限公司,港交所更名/上市文件或年报；当前主营业务及行业证据；如为H股同时核验A股关系,丰盛控股有限公司 | 豐盛控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=607,,pending
HKCONT-00650-HK,00650.HK,0,review_issuer_identity_and_industry,普达特科技有限公司,普達特科技有限公司,港交所更名/上市文件或年报；当前主营业务及行业证据；如为H股同时核验A股关系,普达特科技有限公司 | 普達特科技有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=650,,pending
HKCONT-00002-HK,00002.HK,2,verify_name_continuity,中电控股有限公司,中電控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,中电控股有限公司 | 中電控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2,,pending
HKCONT-00003-HK,00003.HK,2,verify_name_continuity,香港中华煤气有限公司,香港中華煤氣有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,香港中华煤气有限公司 | 香港中華煤氣有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3,,pending
HKCONT-00006-HK,00006.HK,2,verify_name_continuity,电能实业有限公司,電能實業有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,电能实业有限公司 | 電能實業有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6,,pending
HKCONT-00061-HK,00061.HK,2,verify_name_continuity,绿领控股集团有限公司,綠領控股集團有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,绿领控股集团有限公司 | 綠領控股集團有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=61,,pending
HKCONT-00065-HK,00065.HK,2,verify_name_continuity,弘海高新资源有限公司,弘海高新資源有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,弘海高新资源有限公司 | 弘海高新資源有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=65,,pending
HKCONT-00135-HK,00135.HK,2,verify_name_continuity,昆仑能源有限公司,昆侖能源有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,昆仑能源有限公司 | 昆侖能源有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=135,,pending
HKCONT-00182-HK,00182.HK,2,verify_name_continuity,协合新能源集团有限公司,協合新能源集團有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,协合新能源集团有限公司 | 協合新能源集團有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=182,,pending
HKCONT-00196-HK,00196.HK,2,verify_name_continuity,宏华集团有限公司,宏華集團有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,宏华集团有限公司 | 宏華集團有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=196,,pending
HKCONT-00206-HK,00206.HK,2,verify_name_continuity,华商能源科技股份有限公司,華商能源科技股份有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,华商能源科技股份有限公司 | 華商能源科技股份有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=206,,pending
HKCONT-00332-HK,00332.HK,2,verify_name_continuity,元亨燃气控股有限公司,元亨燃氣控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,元亨燃气控股有限公司 | 元亨燃氣控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=332,,pending
HKCONT-00346-HK,00346.HK,2,verify_name_continuity,延长石油国际有限公司,延長石油國際有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,延长石油国际有限公司 | 延長石油國際有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=346,,pending
HKCONT-00353-HK,00353.HK,2,verify_name_continuity,能源国际投资控股有限公司,能源國際投資控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,能源国际投资控股有限公司 | 能源國際投資控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=353,,pending
HKCONT-00384-HK,00384.HK,2,verify_name_continuity,中国燃气控股有限公司,中國燃氣控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,中国燃气控股有限公司 | 中國燃氣控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=384,,pending
HKCONT-00451-HK,00451.HK,2,verify_name_continuity,协鑫新能源控股有限公司,時代數字控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,协鑫新能源控股有限公司 | 時代數字控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=451,,pending
HKCONT-00467-HK,00467.HK,2,verify_name_continuity,联合能源集团有限公司,聯合能源集團有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,联合能源集团有限公司 | 聯合能源集團有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=467,,pending
HKCONT-00554-HK,00554.HK,2,verify_name_continuity,汉思能源有限公司,漢思集團控股有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,汉思能源有限公司 | 漢思集團控股有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=554,,pending
HKCONT-00579-HK,00579.HK,2,verify_name_continuity,北京京能清洁能源电力股份有限公司,北京京能清潔能源電力股份有限公司 - H股,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,北京京能清洁能源电力股份有限公司 | 北京京能清潔能源電力股份有限公司 - H股,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=579,,pending
HKCONT-00639-HK,00639.HK,2,verify_name_continuity,首钢福山资源集团有限公司,首鋼福山資源集團有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,首钢福山资源集团有限公司 | 首鋼福山資源集團有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=639,,pending
HKCONT-00645-HK,00645.HK,2,verify_name_continuity,安域亚洲有限公司,安域亞洲有限公司,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,安域亚洲有限公司 | 安域亞洲有限公司,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=645,,pending
HKCONT-00666-HK,00666.HK,2,verify_name_continuity,瑞浦兰钧能源股份有限公司,瑞浦蘭鈞能源股份有限公司 - H股,港交所更名公告、年报公司沿革或上市文件；证明同一发行人或代码复用,瑞浦兰钧能源股份有限公司 | 瑞浦蘭鈞能源股份有限公司 - H股,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=666,,pending
