stock_code,historical_stock_code,historical_name,historical_abbr,current_chinese_name,current_chinese_short_name,hsic_sub_sector,continuity_status,industry_review_status,h_share_clue,priority,next_action,evidence_url,resolution_evidence_url,reason
00042.HK,00042.HK,东北电气发展股份有限公司,东北电气,東北電氣發展股份有限公司 - H股,東北電氣,工業零件及器材,name_difference,manual_review,True,0,review_issuer_identity_and_industry,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=42,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00600.HK,00600.HK,中国基建投资有限公司,中国基建投资,愛芯元智半導體股份有限公司 - H股,愛芯元智,半導體,name_difference,manual_review,True,0,review_issuer_identity_and_industry,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=600,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00607.HK,00607.HK,丰盛控股有限公司,丰盛控股,豐盛控股有限公司,豐盛控股,環保工程,name_difference,manual_review,False,0,review_issuer_identity_and_industry,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=607,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00650.HK,00650.HK,普达特科技有限公司,普达特科技,普達特科技有限公司,普達特科技,半導體設備與材料,name_difference,manual_review,False,0,review_issuer_identity_and_industry,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=650,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00002.HK,00002.HK,中电控股有限公司,中电控股,中電控股有限公司,中電控股,常規電力,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00003.HK,00003.HK,香港中华煤气有限公司,香港中华煤气,香港中華煤氣有限公司,香港中華煤氣,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00006.HK,00006.HK,电能实业有限公司,电能实业,電能實業有限公司,電能實業,常規電力,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00061.HK,00061.HK,绿领控股集团有限公司,绿领控股,綠領控股集團有限公司,綠領控股（新）,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=61,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00065.HK,00065.HK,弘海高新资源有限公司,弘海高新资源,弘海高新資源有限公司,弘海高新資源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=65,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00135.HK,00135.HK,昆仑能源有限公司,昆仑能源,昆侖能源有限公司,昆侖能源,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=135,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00182.HK,00182.HK,协合新能源集团有限公司,协合新能源,協合新能源集團有限公司,協合新能源,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=182,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00196.HK,00196.HK,宏华集团有限公司,宏华集团,宏華集團有限公司,宏華集團,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=196,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00206.HK,00206.HK,华商能源科技股份有限公司,华商能源,華商能源科技股份有限公司,華商能源,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=206,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00332.HK,00332.HK,元亨燃气控股有限公司,元亨燃气,元亨燃氣控股有限公司,元亨燃氣（新）,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=332,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00346.HK,00346.HK,延长石油国际有限公司,延长石油国际,延長石油國際有限公司,延長石油國際,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=346,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00353.HK,00353.HK,能源国际投资控股有限公司,能源国际投资,能源國際投資控股有限公司,能源國際投資,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=353,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00384.HK,00384.HK,中国燃气控股有限公司,中国燃气,中國燃氣控股有限公司,中國燃氣,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=384,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00451.HK,00451.HK,协鑫新能源控股有限公司,协鑫新能源,時代數字控股有限公司,時代數字,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=451,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00467.HK,00467.HK,联合能源集团有限公司,联合能源集团,聯合能源集團有限公司,聯合能源集團,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=467,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00554.HK,00554.HK,汉思能源有限公司,汉思能源,漢思集團控股有限公司,漢思集團控股,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=554,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00579.HK,00579.HK,北京京能清洁能源电力股份有限公司,京能清洁能源,北京京能清潔能源電力股份有限公司 - H股,京能清潔能源,非傳統/ 可再生能源,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=579,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00639.HK,00639.HK,首钢福山资源集团有限公司,首钢资源,首鋼福山資源集團有限公司,首鋼資源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=639,,历史与当前名称不做简繁或模糊自动归并，需证据复核
