stock_code,company_name,document_count,annual_report_count,esg_report_count,report_years,document_types,annual_status,esg_status,next_action
00702.HK,中國油氣控股有限公司,0,0,0,,,missing,missing,discover_annual_report
01101.HK,中國華榮能源股份有限公司,0,0,0,,,missing,missing,discover_annual_report
00002.HK,中電控股有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00065.HK,弘海高新資源有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00206.HK,華商能源科技股份有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00295.HK,江山控股有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00600.HK,愛芯元智半導體股份有限公司 - H股,2,1,0,0|2025,annual_report|listing_document,collected,missing,scan_annual_for_esg
00632.HK,中港石油有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00639.HK,首鋼福山資源集團有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00645.HK,安域亞洲有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00650.HK,普達特科技有限公司,1,1,0,2024,annual_report,collected,missing,scan_annual_for_esg
00689.HK,長盈集團(控股)有限公司,2,1,0,0|2025,annual_report|listing_document,collected,missing,scan_annual_for_esg
00704.HK,和嘉控股有限公司,1,1,0,2024,annual_report,collected,missing,scan_annual_for_esg
00866.HK,中國秦發集團有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
00931.HK,中國港能智慧能源集團有限公司,1,1,0,2026,annual_report,collected,missing,scan_annual_for_esg
01080.HK,勝利油氣管道控股有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
01251.HK,華油能源集團有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
01277.HK,力量發展集團有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
01393.HK,恒鼎實業國際發展有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
01555.HK,ＭＩ能源控股有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
01621.HK,域高國際控股有限公司,1,1,0,2025,annual_report,collected,missing,scan_annual_for_esg
