company_code,company_name,report_year,document_type,official_domain,source_url,page_url,anchor_text,discovery_status,error,review_decision,reviewer,reviewed_at,review_note
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/investor/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/investor/reports/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/tzzgx/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/tzzgx/dqbg/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/responsibility/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/esg/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/sustainability/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/social/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/about/social/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/cn/investor/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/zh/investor/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
00206.HK,CM-ENERGY,2025,,cm-energy.com,,https://cm-energy.com/sytzzl/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
01921.HK,DALIPAL HLDG,2025,,dalipal.com,,https://dalipal.com/,,fetch_failed,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>,,,,
