company_code,company_name,indicator_code,in_v23_obs,direct_extract,derived_now,text_signal,has_revenue_signal,doc_count,text_chars,failure_reason,extract_values
600900.SH,长江电力,Q_E_GHG_INTENSITY,True,True,False,True,True,2,335523,ok_confirmed,6.680000000000001
600900.SH,长江电力,Q_E_ENERGY_INTENSITY,True,True,False,True,True,2,335523,ok_confirmed,2.0
600900.SH,长江电力,Q_E_NOX_INTENSITY,False,False,False,True,True,2,335523,text_signal_but_rules_miss,
600900.SH,长江电力,Q_E_SO2_INTENSITY,False,False,False,True,True,2,335523,text_signal_but_rules_miss,
600900.SH,长江电力,Q_E_WATER_INTENSITY,True,True,False,True,True,2,335523,ok_confirmed,810.0
600900.SH,长江电力,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,335523,text_signal_but_rules_miss,
600900.SH,长江电力,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,2,335523,no_text_signal,
600995.SH,南网储能,Q_E_GHG_INTENSITY,True,True,False,True,True,2,276057,ok_confirmed,30.0
600995.SH,南网储能,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,276057,text_signal_but_rules_miss,
600995.SH,南网储能,Q_E_NOX_INTENSITY,True,False,True,True,True,2,276057,ok_confirmed,
600995.SH,南网储能,Q_E_SO2_INTENSITY,False,False,False,False,True,2,276057,no_text_signal,
600995.SH,南网储能,Q_E_WATER_INTENSITY,False,False,False,True,True,2,276057,text_signal_but_rules_miss,
600995.SH,南网储能,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,2,276057,no_text_signal,
600995.SH,南网储能,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,276057,text_signal_but_rules_miss,
02688.HK,ENN ENERGY,Q_E_GHG_INTENSITY,False,False,False,True,False,2,937782,text_signal_but_rules_miss,
02688.HK,ENN ENERGY,Q_E_ENERGY_INTENSITY,True,True,False,False,False,2,937782,ok_confirmed,3.4785000000000004
02688.HK,ENN ENERGY,Q_E_NOX_INTENSITY,True,True,False,True,False,2,937782,ok_confirmed,0.9
02688.HK,ENN ENERGY,Q_E_SO2_INTENSITY,True,True,False,True,False,2,937782,ok_confirmed,0.1331489752623307
02688.HK,ENN ENERGY,Q_E_WATER_INTENSITY,True,True,False,False,False,2,937782,ok_confirmed,60.913
02688.HK,ENN ENERGY,Q_E_SOLID_WASTE_INTENSITY,True,True,False,False,False,2,937782,ok_confirmed,0.0748
02688.HK,ENN ENERGY,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,2,937782,no_text_signal,
300274.SZ,阳光电源,Q_E_GHG_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_E_NOX_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_E_SO2_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_E_WATER_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
300274.SZ,阳光电源,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,439482,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_GHG_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_NOX_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_SO2_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_WATER_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,323699,text_signal_but_rules_miss,
601567.SH,三星电气,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,2,323699,no_text_signal,
00135.HK,KUNLUN ENERGY,Q_E_GHG_INTENSITY,False,False,False,False,False,2,806119,no_text_signal,
00135.HK,KUNLUN ENERGY,Q_E_ENERGY_INTENSITY,False,False,False,False,False,2,806119,no_text_signal,
