company_code,company_name,official_domain,candidate_url,evidence_file,evidence_count,verification_status,next_action
000009.SZ,中国宝安,chinabaoan.com,http://www.chinabaoan.com/,data/text/000009.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000027.SZ,深圳能源,cninfo.co,http://www.cninfo.co,data/text/000027.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000027.SZ,深圳能源,qyxxpl.ywzh.lnsthj.cn,https://qyxxpl.ywzh.lnsthj.cn,data/text/000027.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000027.SZ,深圳能源,sec.com.cn,https://www.sec.com.cn,data/text/000027.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000037.SZ,深南电A,nsrd.com.cn,http://www.nsrd.com.cn,data/text/000037.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000037.SZ,深南电A,stcn.com,http://www.stcn.com/,data/text/000037.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000037.SZ,深南电A,www-app.gdeei.cn,https://www-app.gdeei.cn/gdeepub/front/dal/report/list,data/text/000037.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000155.SZ,川能动力,cndl155.com,http://www.cndl155.com/,data/text/000155.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000155.SZ,川能动力,ir.p5w,https://ir.p5w,data/text/000155.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000400.SZ,许继电气,xjec.com,http://www.xjec.com/,data/text/000400.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000407.SZ,胜利股份,vicome.com,http://www.vicome.com,data/text/000407.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000421.SZ,南京公用,njpud.com,https://www.njpud.com/,data/text/000421.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000531.SZ,穗恒运Ａ,hengyun.com.cn,http://www.hengyun.com.cn,data/text/000531.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000531.SZ,穗恒运Ａ,www-app.gdeei.cn,https://www-app.gdeei.cn/gdeepub/front/dal/ent/list,data/text/000531.SZ/2025/annual_report.txt,3,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000533.SZ,顺钠股份,shunna.com.cn,http://www.shunna.com.cn,data/text/000533.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000537.SZ,绿发电力,cninfo.com,https://www.cninfo.com.,data/text/000537.SZ/2025/annual_report.txt,5,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000537.SZ,绿发电力,cninfo.com.c,http://www.cninfo.com.c,data/text/000537.SZ/2025/annual_report.txt,3,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000539.SZ,粤电力Ａ,ged.com.cn,http://www.ged.com.cn,data/text/000539.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000539.SZ,粤电力Ａ,www-app.gdeei,https://www-app.gdeei,data/text/000539.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000543.SZ,皖能电力,cs.com.cn,https://www.cs.com.cn/,data/text/000543.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000543.SZ,皖能电力,stcn.com,https://www.stcn.com/,data/text/000543.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000543.SZ,皖能电力,wenergy.cn,http://www.wenergy.cn,data/text/000543.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000543.SZ,皖能电力,xxpl.xjpmic.cn,https://xxpl.xjpmic.cn,data/text/000543.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000591.SZ,太阳能,cecsec.cn,http://www.cecsec.cn/,data/text/000591.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000593.SZ,德龙汇能,dlceg.com,http://www.dlceg.com,data/text/000593.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000600.SZ,建投能源,cninfo.com,http://www.cninfo.com.,data/text/000600.SZ/2025/annual_report.txt,11,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000601.SZ,韶能股份,shaoneng.com.cn,http://www.shaoneng.com.cn,data/text/000601.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000601.SZ,韶能股份,wwwapp.gdeei.cn,https://wwwapp.gdeei.cn/gdeepub/front/d,data/text/000601.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00061.HK,GREEN LEADER,irasia.com,http://www.irasia.com/listco/hk/greenleader,data/text/hkex_reports/00061.HK/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000637.SZ,茂化实华,mhshgf.cn,http://www.mhshgf.cn/,data/text/000637.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
