company_code,company_name,official_domain,candidate_url,source_channel,evidence_file,evidence_snippet,evidence_count,verification_status,next_action
00002.HK,CLP HOLDINGS,clpgroup.com,https://clpgroup.com/,document_text_url,data/text/hkex_reports/00002.HK/2025/annual_report.txt,www.clpgroup.com,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00003.HK,HK & CHINA GAS,towngas.com,https://towngas.com/,document_text_url,data/text/00003.HK/2025/annual_report.txt,www.towngas.com,4,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000049.SZ,德赛电池,desaybattery.com.cn,https://desaybattery.com.cn/,document_text_website_field,data/text/ci_collection/000049.SZ/2025/annual_report.txt,公司网址 www.desaybattery.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00006.HK,POWER ASSETS,powerassets.com,https://powerassets.com/,document_text_url,data/text/hkex_reports/00006.HK/2025/annual_report.txt,www.powerassets.com,6,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000096.SZ,广聚能源,gj000096.com,https://gj000096.com/,document_text_website_field,data/text/ci_collection/000096.SZ/2025/annual_report.txt,公司网址 www.gj000096.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00042.HK,NE ELECTRIC,nee.com.cn,https://nee.com.cn/,document_text_url,data/text/hkex_reports/00042.HK/2025/annual_report.txt,www.nee.com.cn,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000537.SZ,绿发电力,cge.cn,https://cge.cn/,document_text_website_field,data/text/ci_collection/000537.SZ/2025/annual_report.txt,公司网址 www.cge.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000600.SZ,建投能源,jei.com.cn,https://jei.com.cn/,document_text_website_field,data/text/ci_collection/000600.SZ/2025/annual_report.txt,公司网址 www.jei.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
00065.HK,GRAND OCEAN AR,grandocean65.com,https://grandocean65.com/,document_text_url,data/text/hkex_reports/00065.HK/2025/annual_report.txt,www.grandocean65.com,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000682.SZ,东方电子,dongfangelec.com,https://dongfangelec.com/,document_text_website_field,data/text/ci_collection/000682.SZ/2025/annual_report.txt,公司网址 www.dongfangelec.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000722.SZ,湖南发展,hnfzgf.com,https://hnfzgf.com/,document_text_website_field,data/text/ci_collection/000722.SZ/2025/annual_report.txt,公司网址 www.hnfzgf.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000875.SZ,电投绿能,spicjl.com,https://spicjl.com/,document_text_website_field,data/text/ci_collection/000875.SZ/2025/annual_report.txt,公司网址 www.spicjl.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000899.SZ,赣能股份,000899.com,https://000899.com/,document_text_website_field,data/text/ci_collection/000899.SZ/2025/annual_report.txt,公司网址 www.000899.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000966.SZ,长源电力,cydl.com.cn,https://cydl.com.cn/,document_text_website_field,data/text/ci_collection/000966.SZ/2025/annual_report.txt,公司网址 www.cydl.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
000993.SZ,闽东电力,mdep.com.cn,https://mdep.com.cn/,document_text_website_field,data/text/ci_collection/000993.SZ/2025/annual_report.txt,公司网址 www.mdep.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
001208.SZ,华菱线缆,hlxl.com,https://hlxl.com/,document_text_website_field,data/text/ci_collection/001208.SZ/2025/annual_report.txt,公司网址 www.hlxl.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
001269.SZ,欧晶科技,ojingquartz.com,https://ojingquartz.com/,eastmoney_f10_gswz,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/CompanySurveyAjax?code=SZ001269,gswz=www.ojingquartz.com,1,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
001301.SZ,尚太科技,shangtaitech.com,https://shangtaitech.com/,document_text_website_field,data/text/ci_collection/001301.SZ/2025/annual_report.txt,公司网址 www.shangtaitech.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
001331.SZ,胜通能源,senton.cn,https://senton.cn/,document_text_website_field,data/text/ci_collection/001331.SZ/2025/annual_report.txt,公司网址 www.senton.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002056.SZ,横店东磁,dmegc.com.cn,https://dmegc.com.cn/,document_text_website_field,data/text/ci_collection/002056.SZ/2025/annual_report.txt,公司网址 www.dmegc.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002060.SZ,广东建工,gdcegs.com,https://gdcegs.com/,document_text_website_field,data/text/ci_collection/002060.SZ/2025/annual_report.txt,公司网址 www.gdcegs.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002112.SZ,三变科技,sanbian.cn,https://sanbian.cn/,document_text_website_field,data/text/ci_collection/002112.SZ/2025/annual_report.txt,公司网址 www.sanbian.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002196.SZ,方正电机,fdm.com.cn,https://fdm.com.cn/,document_text_website_field,data/text/ci_collection/002196.SZ/2025/annual_report.txt,公司网址 www.fdm.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002221.SZ,东华能源,chinadhe.com,https://chinadhe.com/,document_text_website_field,data/text/ci_collection/002221.SZ/2025/annual_report.txt,公司网址 www.chinadhe.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002259.SZ,升达林业,shengdawood.com,https://shengdawood.com/,document_text_website_field,data/text/ci_collection/002259.SZ/2025/annual_report.txt,公司网址 www.shengdawood.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002267.SZ,陕天然气,shaanxigas.com,https://shaanxigas.com/,document_text_website_field,data/text/ci_collection/002267.SZ/2025/annual_report.txt,公司网址 www.shaanxigas.com,3,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002335.SZ,科华数据,kehua.com.cn,https://kehua.com.cn/,document_text_website_field,data/text/ci_collection/002335.SZ/2025/annual_report.txt,公司网址 www.kehua.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002339.SZ,积成电子,ieslab.com.cn,https://ieslab.com.cn/,document_text_website_field,data/text/ci_collection/002339.SZ/2025/annual_report.txt,公司网址 www.ieslab.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002346.SZ,柘中股份,zhezhong.com,https://zhezhong.com/,document_text_website_field,data/text/ci_collection/002346.SZ/2025/annual_report.txt,公司网址 www.zhezhong.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002364.SZ,中恒电气,hzzh.com,https://hzzh.com/,document_text_website_field,data/text/ci_collection/002364.SZ/2025/annual_report.txt,公司网址 www.hzzh.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002366.SZ,融发核电,ytthm.com,https://ytthm.com/,document_text_website_field,data/text/ci_collection/002366.SZ/2025/annual_report.txt,公司网址 www.ytthm.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002452.SZ,长高电新,changgaogroup.com,https://changgaogroup.com/,document_text_website_field,data/text/ci_collection/002452.SZ/2025/annual_report.txt,公司网址 www.changgaogroup.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002471.SZ,中超控股,zcdlgf.com,https://zcdlgf.com/,document_text_website_field,data/text/ci_collection/002471.SZ/2025/annual_report.txt,公司网址 www.zcdlgf.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002479.SZ,富春环保,zhefuet.com,https://zhefuet.com/,document_text_website_field,data/text/ci_collection/002479.SZ/2025/annual_report.txt,公司网址 www.zhefuet.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002498.SZ,汉缆股份,hanhe-cable.com,https://hanhe-cable.com/,document_text_website_field,data/text/ci_collection/002498.SZ/2025/annual_report.txt,公司网址 www.hanhe-cable.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002518.SZ,科士达,kstar.com.cn,https://kstar.com.cn/,document_text_website_field,data/text/ci_collection/002518.SZ/2025/annual_report.txt,公司网址 www.kstar.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002533.SZ,金杯电工,gold-cup.cn,https://gold-cup.cn/,document_text_website_field,data/text/ci_collection/002533.SZ/2025/annual_report.txt,公司网址 www.gold-cup.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002534.SZ,西子洁能,xizice.com,https://xizice.com/,document_text_website_field,data/text/ci_collection/002534.SZ/2025/annual_report.txt,公司网址 www.xizice.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002576.SZ,通达动力,tdchina.com,https://tdchina.com/,document_text_website_field,data/text/ci_collection/002576.SZ/2025/annual_report.txt,公司网址 www.tdchina.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002580.SZ,圣阳股份,sacredsun.cn,https://sacredsun.cn/,document_text_website_field,data/text/ci_collection/002580.SZ/2025/annual_report.txt,公司网址 www.sacredsun.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
002700.SZ,万憬能源,002700.cn,https://002700.cn/,document_text_website_field,data/text/ci_collection/002700.SZ/2025/annual_report.txt,公司网址 www.002700.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
