company_code,company_name
00002.HK,CLP HOLDINGS
00003.HK,HK & CHINA GAS
000049.SZ,德赛电池
00006.HK,POWER ASSETS
000096.SZ,广聚能源
00042.HK,NE ELECTRIC
000537.SZ,绿发电力
000554.SZ,泰山石油
000600.SZ,建投能源
00065.HK,GRAND OCEAN AR
000682.SZ,东方电子
000722.SZ,湖南发展
000875.SZ,电投绿能
000899.SZ,赣能股份
000966.SZ,长源电力
000993.SZ,闽东电力
001208.SZ,华菱线缆
001258.SZ,立新能源
001269.SZ,欧晶科技
001301.SZ,尚太科技
001331.SZ,胜通能源
002056.SZ,横店东磁
002060.SZ,广东建工
002112.SZ,三变科技
002128.SZ,电投能源
002196.SZ,方正电机
002221.SZ,东华能源
002259.SZ,升达林业
002267.SZ,陕天然气
002335.SZ,科华数据
002339.SZ,积成电子
002346.SZ,柘中股份
002364.SZ,中恒电气
002366.SZ,融发核电
002452.SZ,长高电新
002471.SZ,中超控股
002479.SZ,富春环保
002498.SZ,汉缆股份
002518.SZ,科士达
002533.SZ,金杯电工
002534.SZ,西子洁能
002576.SZ,通达动力
002580.SZ,圣阳股份
002700.SZ,万憬能源
002801.SZ,微光股份
002812.SZ,恩捷股份
002851.SZ,麦格米特
002892.SZ,科力尔
002927.SZ,泰永长征
00295.HK,KONG SUN HOLD
003021.SZ,兆威机电
003035.SZ,南网能源
00346.HK,YANCHANG PETRO
003816.SZ,中国广核
00600.HK,AXERA
00607.HK,FULLSHARE
00645.HK,ARES ASIA
00650.HK,PRODUCTIVE TECH
00666.HK,REPT BATTERO
00702.HK,SINO OIL & GAS
00931.HK,CHINA HK POWER
00951.HK,CHAOWEI POWER
00975.HK,MONGOL MINING
01080.HK,SHENGLI PIPE
01083.HK,TG SMART ENERGY
01193.HK,CHINA RES GAS
01251.HK,SPT ENERGY
01277.HK,KINETIC DEV
01600.HK,TIAN LUN GAS
01608.HK,VPOWER GROUP
01621.HK,VICO INTL HLDGS
01623.HK,HILONG
01799.HK,XINTE ENERGY
01811.HK,CGN NEW ENERGY
01940.HK,CGII HLDGS
02012.HK,SUNSHINE OIL
02236.HK,WISON ENGRG
02728.HK,JINTAI ENERGY H
02798.HK,PER ENERGY
03337.HK,ANTON OILFIELD
03395.HK,JX ENERGY
03633.HK,ZHONGYU ENERGY
03668.HK,YANCOAL AUS
08132.HK,CENTURY EN INTL
08347.HK,F8 ENT
08536.HK,TL NATURAL GAS
08631.HK,YUFENGCHANG HLD
09689.HK,JTF INTL
300014.SZ,亿纬锂能
300040.SZ,九洲集团
300062.SZ,中能电气
300153.SZ,科泰电源
300185.SZ,通裕重工
300191.SZ,潜能恒信
300222.SZ,科大智能
300265.SZ,通光线缆
300286.SZ,安科瑞
300317.SZ,珈伟新能
300332.SZ,天壕能源
300360.SZ,炬华科技
300376.SZ,易事特
300390.SZ,天华新能
300393.SZ,中来股份
300407.SZ,凯发电气
300409.SZ,道氏技术
300423.SZ,昇辉科技
300438.SZ,鹏辉能源
300444.SZ,双杰电气
300450.SZ,先导智能
300457.SZ,赢合科技
300490.SZ,华自科技
300514.SZ,友讯达
300568.SZ,星源材质
300593.SZ,新雷能
300619.SZ,金银河
300660.SZ,江苏雷利
300690.SZ,双一科技
300693.SZ,盛弘股份
300750.SZ,宁德时代
300763.SZ,锦浪科技
300776.SZ,帝尔激光
300820.SZ,英杰电气
300827.SZ,上能电气
300853.SZ,申昊科技
300880.SZ,迦南智能
300882.SZ,万胜智能
300904.SZ,威力传动
300907.SZ,康平科技
301040.SZ,中环海陆
301063.SZ,海锅股份
301082.SZ,久盛电气
301150.SZ,中一科技
301155.SZ,海力风电
301168.SZ,通灵股份
301179.SZ,泽宇智能
301210.SZ,金杨精密
301217.SZ,铜冠铜箔
301238.SZ,瑞泰新材
301292.SZ,海科新源
301325.SZ,曼恩斯特
301349.SZ,信德新材
301361.SZ,众智科技
301439.SZ,泓淋电力
301502.SZ,华阳智能
301516.SZ,中远通
600021.SH,上海电力
600027.SH,华电国际
600032.SH,浙江新能
600110.SH,诺德股份
600149.SH,廊坊发展
600157.SH,永泰能源
600163.SH,中闽能源
600192.SH,长城电工
600241.SH,时代万恒
600339.SH,中油工程
600396.SH,华电辽能
600397.SH,江钨装备
600406.SH,国电南瑞
600468.SH,百利电气
600505.SH,西昌电力
600577.SH,精达股份
600580.SH,卧龙电驱
600617.SH,国新能源
600635.SH,大众公用
600674.SH,川投能源
600681.SH,百川能源
600719.SH,大连热电
600725.SH,云维股份
600726.SH,华电能源
600758.SH,辽宁能源
600777.SH,*ST新潮
600780.SH,通宝能源
600795.SH,国电电力
600847.SH,万里股份
600863.SH,华能蒙电
600869.SH,远东股份
600875.SH,东方电气
600884.SH,杉杉股份
600886.SH,国投电力
600903.SH,贵州燃气
600905.SH,三峡能源
600938.SH,中国海油
600956.SH,新天绿能
600969.SH,郴电国际
600973.SH,宝胜股份
601016.SH,节能风电
601126.SH,四方股份
601139.SH,深圳燃气
601179.SH,中国西电
601222.SH,林洋能源
601311.SH,骆驼股份
601669.SH,中国电建
601778.SH,晶科科技
601808.SH,中海油服
601868.SH,中国能建
603016.SH,新宏泰
603032.SH,德新科技
603063.SH,禾望电气
603070.SH,万控智造
603080.SH,新疆火炬
603105.SH,芯能科技
603212.SH,赛伍技术
603318.SH,水发燃气
603333.SH,尚纬股份
603530.SH,神马电力
603556.SH,海兴电力
603619.SH,中曼石油
603727.SH,博迈科
603728.SH,鸣志电器
603798.SH,康普顿
603806.SH,福斯特
603819.SH,神力股份
603897.SH,长城科技
603985.SH,恒润股份
605066.SH,天正电气
605090.SH,九丰能源
605580.SH,恒盛能源
688005.SH,容百科技
688148.SH,芳源股份
688392.SH,骄成超声
688499.SH,利元亨
688503.SH,聚和材料
688551.SH,科威尔
688556.SH,高测股份
688597.SH,煜邦电力
688680.SH,海优新材
688681.SH,科汇股份
920046.BJ,亿能电力
920062.BJ,科润智控
920152.BJ,昆工科技
920167.BJ,同享科技
920185.BJ,贝特瑞
920237.BJ,力佳科技
920252.BJ,天宏锂电
920368.BJ,连城数控
920375.BJ,派诺科技
920496.BJ,许昌智能
920522.BJ,纳科诺尔
920556.BJ,雅达股份
920639.BJ,晨光电缆
920682.BJ,球冠电缆
920809.BJ,安达科技
920914.BJ,远航精密
920985.BJ,海泰新能
