company_code,company_name,reason,evidence_snippet
000554.SZ,泰山石油,no_plausible_issuer_domain_found,
001258.SZ,立新能源,annual_report_declares_no_website,公司网址 无
002128.SZ,电投能源,annual_report_declares_no_website,公司网址 不适用
00931.HK,CHINA HK POWER,no_plausible_issuer_domain_found,
00975.HK,MONGOL MINING,no_plausible_issuer_domain_found,
600396.SH,华电辽能,no_plausible_issuer_domain_found,
600397.SH,江钨装备,annual_report_declares_no_website,公司网址 无
600617.SH,国新能源,annual_report_declares_no_website,公司网址 无
600725.SH,云维股份,annual_report_declares_no_website,公司网址 无
600758.SH,辽宁能源,annual_report_declares_no_website,公司网址 无
605580.SH,恒盛能源,annual_report_declares_no_website,公司网址 无
