company_code,company_name,report_year,document_type,official_domain,source_url,page_url,anchor_text,discovery_status,error,review_decision,reviewer,reviewed_at,review_note
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/investor/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/investor/reports/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/tzzgx/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/tzzgx/dqbg/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/esg/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/responsibility/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/sustainability/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/ir/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://clpgroup.com/reports/,,fetch_failed,HTTP Error 403: Forbidden,,,,
00002.HK,CLP HOLDINGS,2025,,clpgroup.com,,https://www.clpgroup.com/,,fetch_failed,HTTP Error 403: Forbidden,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/investor/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/investor/reports/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/tzzgx/,,fetch_failed,The read operation timed out,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/tzzgx/dqbg/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/responsibility/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/sustainability/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/ir/,,fetch_failed,HTTP Error 404: Not Found,,,,
000037.SZ,深南电A,2025,,stcn.com,,https://stcn.com/reports/,,fetch_failed,HTTP Error 404: Not Found,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/investor/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/investor/reports/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/tzzgx/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/tzzgx/dqbg/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/esg/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/responsibility/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/sustainability/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/ir/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://desaybattery.com.cn/reports/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000049.SZ,德赛电池,2025,,desaybattery.com.cn,,https://www.desaybattery.com.cn/,,fetch_failed,HTTP Error 502: Bad Gateway,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/investor/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/investor/reports/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/tzzgx/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/tzzgx/dqbg/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
000096.SZ,广聚能源,2025,,gj000096.com,,https://gj000096.com/esg/,,fetch_failed,<urlopen error [Errno 54] Connection reset by peer>,,,,
