company_code,company_name,report_year,document_type,source_channel,official_domain,candidate_url,domain_verification,download_status,next_action,scoring_authorized
000009.SZ,中国宝安,2025,annual_report,issuer_official_website,chinabaoan.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000009.SZ,中国宝安,2025,esg_report,issuer_official_website,chinabaoan.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00002.HK,CLP HOLDINGS,2024,annual_report,issuer_official_website,clpgroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00002.HK,CLP HOLDINGS,2025,annual_report,issuer_official_website,clpgroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000027.SZ,深圳能源,2025,annual_report,issuer_official_website,sec.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000027.SZ,深圳能源,2025,esg_report,issuer_official_website,sec.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00003.HK,HK & CHINA GAS,2024,esg_report,issuer_official_website,towngas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00003.HK,HK & CHINA GAS,2025,annual_report,issuer_official_website,towngas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00003.HK,HK & CHINA GAS,2025,esg_report,issuer_official_website,towngas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000037.SZ,深南电A,2025,annual_report,issuer_official_website,stcn.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000049.SZ,德赛电池,2025,annual_report,issuer_official_website,desaybattery.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00006.HK,POWER ASSETS,2024,annual_report,issuer_official_website,powerassets.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00006.HK,POWER ASSETS,2024,esg_report,issuer_official_website,powerassets.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00006.HK,POWER ASSETS,2025,annual_report,issuer_official_website,powerassets.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00006.HK,POWER ASSETS,2025,esg_report,issuer_official_website,powerassets.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000096.SZ,广聚能源,2025,annual_report,issuer_official_website,gj000096.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000155.SZ,川能动力,2025,annual_report,issuer_official_website,cndl155.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000400.SZ,许继电气,2025,annual_report,issuer_official_website,xjec.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000400.SZ,许继电气,2025,esg_report,issuer_official_website,xjec.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000407.SZ,胜利股份,2025,annual_report,issuer_official_website,vicome.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00042.HK,NE ELECTRIC,2024,annual_report,issuer_official_website,nee.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00042.HK,NE ELECTRIC,2024,esg_report,issuer_official_website,nee.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00042.HK,NE ELECTRIC,2025,annual_report,issuer_official_website,nee.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00042.HK,NE ELECTRIC,2025,esg_report,issuer_official_website,nee.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000421.SZ,南京公用,2025,annual_report,issuer_official_website,njpud.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000531.SZ,穗恒运Ａ,2025,annual_report,issuer_official_website,hengyun.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000531.SZ,穗恒运Ａ,2025,esg_report,issuer_official_website,hengyun.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000533.SZ,顺钠股份,2025,annual_report,issuer_official_website,shunna.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000533.SZ,顺钠股份,2025,esg_report,issuer_official_website,shunna.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000537.SZ,绿发电力,2025,annual_report,issuer_official_website,cge.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000539.SZ,粤电力Ａ,2025,annual_report,issuer_official_website,ged.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000543.SZ,皖能电力,2025,annual_report,issuer_official_website,stcn.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000543.SZ,皖能电力,2025,esg_report,issuer_official_website,stcn.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000554.SZ,泰山石油,2025,annual_report,issuer_official_website,,,not_submitted,pending_official_url,登记公司官网域名并人工确认域名归属，再发现报告链接,False
000554.SZ,泰山石油,2025,esg_report,issuer_official_website,,,not_submitted,pending_official_url,登记公司官网域名并人工确认域名归属，再发现报告链接,False
000591.SZ,太阳能,2025,annual_report,issuer_official_website,cecsec.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000593.SZ,德龙汇能,2025,annual_report,issuer_official_website,dlceg.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000600.SZ,建投能源,2025,annual_report,issuer_official_website,jei.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000600.SZ,建投能源,2025,esg_report,issuer_official_website,jei.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000601.SZ,韶能股份,2025,annual_report,issuer_official_website,shaoneng.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00061.HK,GREEN LEADER,2024,annual_report,issuer_official_website,irasia.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00061.HK,GREEN LEADER,2024,esg_report,issuer_official_website,irasia.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00061.HK,GREEN LEADER,2025,annual_report,issuer_official_website,irasia.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00061.HK,GREEN LEADER,2025,esg_report,issuer_official_website,irasia.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000637.SZ,茂化实华,2025,annual_report,issuer_official_website,mhshgf.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00065.HK,GRAND OCEAN AR,2024,annual_report,issuer_official_website,grandocean65.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00065.HK,GRAND OCEAN AR,2025,annual_report,issuer_official_website,grandocean65.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000682.SZ,东方电子,2025,annual_report,issuer_official_website,dongfangelec.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000690.SZ,宝新能源,2025,annual_report,issuer_official_website,baolihua.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000690.SZ,宝新能源,2025,esg_report,issuer_official_website,baolihua.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000692.SZ,惠天热电,2025,annual_report,issuer_official_website,htrd.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000703.SZ,恒逸石化,2025,annual_report,issuer_official_website,hengyishihua.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000720.SZ,新能泰山,2025,annual_report,issuer_official_website,xntsgs.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000722.SZ,湖南发展,2025,annual_report,issuer_official_website,hnfzgf.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000723.SZ,美锦能源,2025,annual_report,issuer_official_website,mjenergy.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000723.SZ,美锦能源,2025,esg_report,issuer_official_website,mjenergy.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000767.SZ,晋控电力,2025,annual_report,issuer_official_website,jksxpower.jnkgjtnews.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000767.SZ,晋控电力,2025,esg_report,issuer_official_website,jksxpower.jnkgjtnews.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000791.SZ,甘肃能源,2025,annual_report,issuer_official_website,nyfz.gepic.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
