stock_code,company_name,exchange,report_year,annual_status,esg_status,next_action,priority
00135.HK,昆仑能源,HKEX,2025,missing,missing,discover_annual_and_esg,1
00686.HK,北京能源国际,HKEX,2025,missing,missing,discover_annual_and_esg,1
01083.HK,港华智慧能源,HKEX,2025,missing,missing,discover_annual_and_esg,1
01193.HK,华润燃气,HKEX,2025,missing,missing,discover_annual_and_esg,1
01713.HK,四川能投发展,HKEX,2025,missing,missing,discover_annual_and_esg,1
02688.HK,新奥能源,HKEX,2025,missing,missing,discover_annual_and_esg,1
000400.SZ,许继电气,SZSE,2025,missing,missing,discover_annual_and_esg,1
001208.SZ,华菱线缆,SZSE,2025,missing,missing,discover_annual_and_esg,1
002534.SZ,西子洁能,SZSE,2025,missing,missing,discover_annual_and_esg,1
002706.SZ,良信股份,SZSE,2025,missing,missing,discover_annual_and_esg,1
002911.SZ,佛燃能源,SZSE,2025,missing,missing,discover_annual_and_esg,1
300274.SZ,阳光电源,SZSE,2025,missing,missing,discover_annual_and_esg,1
301327.SZ,华宝新能,SZSE,2025,missing,missing,discover_annual_and_esg,1
600339.SH,中油工程,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600406.SH,国电南瑞,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600875.SH,东方电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601179.SH,中国西电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601616.SH,广电电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603050.SH,科林电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603606.SH,东方电缆,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688155.SH,先惠技术,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688408.SH,中信博,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600236.SH,桂冠电力,SSE,2025,collected,collected,ready_for_extraction,3
600803.SH,新奥股份,SSE,2025,collected,collected,ready_for_extraction,3
600821.SH,金开新能,SSE,2025,collected,collected,ready_for_extraction,3
600885.SH,宏发股份,SSE,2025,collected,collected,ready_for_extraction,3
600900.SH,长江电力,SSE,2025,collected,collected,ready_for_extraction,3
600956.SH,新天绿能,SSE,2025,collected,collected,ready_for_extraction,3
600968.SH,海油发展,SSE,2025,collected,collected,ready_for_extraction,3
600995.SH,南网储能,SSE,2025,collected,collected,ready_for_extraction,3
601126.SH,四方股份,SSE,2025,collected,collected,ready_for_extraction,3
601567.SH,三星医疗电气,SSE,2025,collected,collected,ready_for_extraction,3
601666.SH,平煤股份,SSE,2025,collected,collected,ready_for_extraction,3
601877.SH,正泰电器,SSE,2025,collected,collected,ready_for_extraction,3
603031.SH,安孚科技,SSE,2025,collected,collected,ready_for_extraction,3
605117.SH,德业股份,SSE,2025,collected,collected,ready_for_extraction,3
688248.SH,南网科技,SSE,2025,collected,collected,ready_for_extraction,3
688676.SH,金盘科技,SSE,2025,collected,collected,ready_for_extraction,3
