company_code,company_name,indicator_code,score,confidence,method
000009.SZ,中国宝安,Q_S_EMPLOYEE_RIGHTS,85.0,0.7,keyword_matching
000009.SZ,中国宝安,Q_S_HEALTH_SAFETY,100.0,0.7,keyword_matching
000009.SZ,中国宝安,Q_S_DIVERSITY,75.0,0.7,keyword_matching
000009.SZ,中国宝安,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_E_ENV_SYSTEM,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_E_EMERGENCY,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_E_ENV_TRAINING,80.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_E_COMPLIANCE,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_E_ENV_IMPACT,85.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_S_EMPLOYEE_RIGHTS,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_S_HEALTH_SAFETY,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_S_DIVERSITY,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
000027.SZ,深圳能源,Q_G_INTEGRITY,100.0,0.7,keyword_matching
000037.SZ,深南电A,Q_E_EMERGENCY,80.0,0.7,keyword_matching
000037.SZ,深南电A,Q_S_EMPLOYEE_RIGHTS,85.0,0.7,keyword_matching
000037.SZ,深南电A,Q_S_HEALTH_SAFETY,100.0,0.7,keyword_matching
000037.SZ,深南电A,Q_S_DIVERSITY,100.0,0.7,keyword_matching
000037.SZ,深南电A,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
000037.SZ,深南电A,Q_G_INTEGRITY,85.0,0.7,keyword_matching
000049.SZ,德赛电池,Q_S_EMPLOYEE_RIGHTS,85.0,0.7,keyword_matching
000049.SZ,德赛电池,Q_S_HEALTH_SAFETY,75.0,0.7,keyword_matching
000049.SZ,德赛电池,Q_S_DIVERSITY,75.0,0.7,keyword_matching
000049.SZ,德赛电池,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
000096.SZ,广聚能源,Q_E_COMPLIANCE,75.0,0.7,keyword_matching
000096.SZ,广聚能源,Q_S_EMPLOYEE_RIGHTS,85.0,0.7,keyword_matching
000096.SZ,广聚能源,Q_S_HEALTH_SAFETY,100.0,0.7,keyword_matching
000096.SZ,广聚能源,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
000155.SZ,川能动力,Q_E_EMERGENCY,75.0,0.7,keyword_matching
000155.SZ,川能动力,Q_E_ENV_IMPACT,75.0,0.7,keyword_matching
000155.SZ,川能动力,Q_S_EMPLOYEE_RIGHTS,85.0,0.7,keyword_matching
000155.SZ,川能动力,Q_S_HEALTH_SAFETY,100.0,0.7,keyword_matching
000155.SZ,川能动力,Q_S_DIVERSITY,90.0,0.7,keyword_matching
000155.SZ,川能动力,Q_G_GOVERNANCE,100.0,0.7,keyword_matching
