batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
1,inspect_esg_tables,1,99.340278,43,399,356,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"in progress 2024 : >30 2,565 EV chargers under management4 2024 : 1,496 30,546RT* Total cooling capacity under CaaS5 2024 : 18,811RT* * refrigeration tonnes 12,133kWp# Total solar capacity under SaaS5 2024 : 8,311kWp# # kilowatt peak 0.50kg CO2e/kWh Greenhouse gas emissions intensity 2024 : 0.53kg CO2e/kWh 71% Operating earnings from non-carbon generation assets, transmission, distribution and retail operations 2024 : 68% 77% Planned capital investments in non-carbon generation assets, transmiss",1,data/text/hkex_reports/00002.HK/2025/annual_report.txt,False
2,inspect_esg_tables,2,99.340278,46,330,284,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"r discharged - to marine water bodies (treated) (Hong Kong) Air Emissions NOx and SOx emissions (Hong Kong and Outside Hong Kong) Respirable suspended particulates (PM10) (Outside Hong Kong) Fuel Mix Natural gas, Naphtha and Landfill gas (Hong Kong) Greenhouse Gas (""GHG"") Emissions Direct GHG emissions (Scope 1) and Indirect GHG emissions (Scope 2 and Scope 3) (Group) Carbon intensity (Hong Kong Gas Production) Number of Employees Full time (by gender, age, employee category) (Hong Kong and Outs",2,data/text/00003.HK/2025/annual_report.txt|data/text/hkex_reports/00003.HK/2025/esg_report.txt,False
3,inspect_esg_tables,3,99.340278,137,328,191,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000037.SZ,深南电A,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,千瓦/3.51 亿千瓦时，同比增 长约 85%，较“十三五”末增长超 40 倍，装机规模持续领先抽水蓄能，储能与新能源协同发展从政策驱动全面转向市场内生 需求驱动。随着新能源与储能规模化发展，源网荷储一体化、多能互补利用加速推进，综合能源服务迎来更广阔发展空间， 其在整合能源资源、提升用能效率、降低碳排放与优化用能成本等方面发挥重要作用，为新型电力系统建设与能源高质量 发展注入新动能。总体来看，2025 年我国以新能源为主体的新型电力系统建设取得突破性进展，电力行业绿色低碳、安全 高效发展格局加快形成。 三、核心竞争力分析 近年来，受宏观经济形势和燃机发电行业共性问题的影响，公司电力生产主营业务仍然面临着困难和挑战，但三十多 年经营与发展所形成的基本核心竞争力以及公司主要股东的大力支持、公司董事会和经营班子采取的经营管理创新之举， 为公司持续经营及谋求转型发展奠定了良好的基础。报告期内，公司秉持稳健的发展理念，坚定战略信念，灵活调整经营 策略，精心优化资源配置，成功攻克了一系列发展难题，进一步巩固和提升了公司的核心竞争力。 1、拼搏、创新的管理文化。公司拥有一批具有创新意识和拼搏精神的,1,data/text/000037.SZ/2025/annual_report.txt,False
4,inspect_esg_tables,4,99.340278,53,395,342,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,". Beyond climate action, we also address broader environmental priorities including biodiversity, nature preservation, circular economy and the management of waste and water-related risks. 80 OVERVIEW OF 2025 ENVIRONMENTAL ACHIEVEMENTS Scope 1 and 2 GHG emissions intensity per attributable revenue1 vs. 2024 5%Decrease 81% of Group’s attributable revenues certified with ISO 14001 or other EMS certificates1 Renewable Energy Capacity and Generation Mix in 2025 Wind Power 369 MW (721 GWh) Energy-fro",2,data/text/hkex_reports/00006.HK/2025/annual_report.txt|data/text/hkex_reports/00006.HK/2025/esg_report.txt,False
5,inspect_esg_tables,5,99.340278,98,300,202,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,提升能源使用效率，助力夯 实绿色低碳运营水平。 全资子公司广聚亿联的聚能南综合能源站于报告期内建成投运，站内光伏发电系统与储能装置 的投用，进一步完善站点绿色能源体系、增强运营韧性，站内铺设的 168 块 620Wp 高效光伏板，有 效利用清洁太阳能补充站内用电，年发电量约 13.5 万度，助力降低碳排放，提升能源供给的低碳化 与高效化水平，为构建智慧、可持续的综合能源服务体系提供了重要支撑。 十七、巩固拓展脱贫攻坚成果、乡村振兴的情况 公司积极响应党中央、国务院关于扶贫减贫、乡村振兴的各项政策方针，在公益扶贫方面努力 践行国企政治责任和使命担当。报告期内，公司开展消费扶贫，实现帮扶 40 万元。 42 === PAGE 43 === 深圳市广聚能源股份有限公司 2025 年年度报告全文 第五节 重要事项 一 、承诺事项履行情况 1、公司实际控制人、股东、关联方、收购人以及公司等承诺相关方在报告期内履行完毕及截至报告期末 尚未履行完毕的承诺事项 适用 □不适用 承诺事由 承诺方 承诺内容 承诺时间 承诺期限 履行情况 首次公开发行或再 融资时所作承诺 深圳市广聚 投资控股 （集团）有,1,data/text/000096.SZ/2025/annual_report.txt,False
6,inspect_esg_tables,7,99.340278,169,527,358,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,理台账，形成油气回 收、污水处理、危废暂存间等设施的全流程闭环管理。 35 36 === PAGE 20 === 泰山石油 2025 年可持续发展报告 提高能源效率 优化用能结构 公司高度重视设备节能管理，通过全面排查、集中整治、动态管控等举措，全面提升设备能效，降低设备运行能耗，从运 营环节减少碳排放，同时降低企业运营成本。 公司组织开展高耗能淘汰型设备排查统计专项工作，对所有库站的加能设备、储油设备、照明设备、供暖设备等运营设备 进行全面排查，对高耗能淘汰型设备，采取“集中回收、合规处置”的方式及时淘汰，坚决杜绝高耗能淘汰型设备继续使用。 同时，推进现有设备节能升级，建设智慧微电网储能工程，完成柴改汽、汽油罐钢浮盘、工艺脱瓶颈等多项设备改造项目， 创新开发“加能站日管理溢耗预警及校验误差自动预警机器人”项目，提升设备运行效率与节能水平。 截至报告期末，公司所有库站均无在用高耗能设备，设备平均能效较上年提升 12.3%。通过设备节能升级与能耗管控，有 效降低了设备运行过程中的电力、燃油等能源消耗，减少了碳排放，实现环境效益与经济效益的双重提升。 泰山石油光伏项目 水资源管理 低碳转型,2,data/text/000554.SZ/2025/annual_report.txt|data/text/000554.SZ/2025/esg_report.txt,False
7,inspect_esg_tables,8,99.340278,158,267,109,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000690.SZ,宝新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,"额 增值税留抵税额 30,191,774.63 44,770,528.28 待认证进项税 271,190,510.64 315,997,673.04 待摊费用 11,565,429.72 17,618,448.15 定期存款及定期存款利息 215,345,416.66 200,377,777.78 碳排放权资产 582,060.18 合计 528,875,191.83 578,764,427.25 1、 与碳排放权交易相关的信息 （1）碳排放配额变动情况 项目 本期 上期 数量 （单位： 吨） 金额 数量 （单位： 吨） 金额 1．本期期初碳排放配额 525,073.00 - 508,292.00 - 2． 本期增加的碳排放配额 15,350,919.00 23,317,518.57 16,710,639.00 - （1） 免费分配取得的配额 15,077,022.00 36,318.40 16,710,639.00 - （2）购入取得的配额 273,897.00 23,281,200.17 - - 第 112 页 共 155 页 === PAGE 114 === （3） 其他方式增加",2,data/text/000690.SZ/2025/annual_report.txt|data/text/000690.SZ/2025/esg_report.txt,False
8,inspect_esg_tables,10,99.340278,146,434,288,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,000968.SZ,蓝焰控股,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,索， 为后续滚动开发提供有力的技术支持。但受制于地质和赋存条件复杂、区域地质与开发工艺适配性差等因素，目前高效 开发仍然存在技术瓶颈，亟需加强深部煤层气的技术攻关，建立适合我国各类深部煤层气特点的开发模式。 降碳减排方面，甲烷排放后的温室效应比二氧化碳高，是造成全球变暖的重要因素之一 。在“双碳”目标驱动下， 大力发展煤层气行业意义重大。规模化地面抽采利用煤层气，进行煤矿瓦斯治理，可以减少煤炭开采时的甲烷释放，还 可以开发利用煤矿采空区和废弃矿井的瓦斯，减少甲烷逸散对臭氧层的破坏。同时，以低排放强度能源替代高排放强度 能源是实现碳中和的有效途径，煤层气的碳排放强度较煤炭、石油低，其规模化抽采利用必将在我国实现“双碳”目标 过程中发挥重要作用。 报告期内，受全球能源转型加速与地缘政治格局深度调整影响，全球天然气市场整体呈现供应宽松、需求温和修复、 价格震荡下行的运行特征，从紧平衡过渡到相对宽松的新供需格局。2025 年，全球天然气产量约 4.19 万亿立方米，同 比增长 1.6%，天然气消费量约 4.17 万亿立方米，同比增长不足 1%。从国内看，我国天然气市场整体运行平稳。在消费 端，,1,data/text/000968.SZ/2025/annual_report.txt,False
9,inspect_esg_tables,11,99.340278,112,260,148,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,发展 ；且明确目标到 2027 年，绿证市场制度体系基本完善 ；到 2030 年，绿证市场高质量发展，绿色电力消费需求快 速增长。 中共中央办公厅 国务院办公厅于 2025 年 8 月 25 日发布《关于推进绿色低碳转型加强全国碳市场建设的意见》，提出加 快建设全国统一碳市场。到 2027 年，全国碳排放权交易市场基本覆盖工业领域主要排放行业 ；到 2030 年，基本建成以配 额总量控制为基础、免费和有偿分配相结合的碳排放权交易市场，形成与国际接轨的自愿减排交易市场。 国家能源局于 2025 年 11 月 28 日印发《关于印发〈可再生能源绿色电力证书管理实施细则（试行）〉的通知》，明确了 核发、划转、核销、衔接的关键规则，同时建立异议处理机制和数据监管体系，确保权责清晰、数据可溯。 2. 新疆层面 新疆发改委于 2025 年 1 月 23 日发布《新疆独立储能容量租赁试点方案（征求意见稿）意见建议的函》，旨在规范独立 储能容量租赁，促进新能源消纳。并明确准入条件、交易与执行、租赁期原则、权益与限制。 新疆电力交易中心于 2025 年 2 月发布细则《新疆电力交易实施细则 3.0（征求,1,data/text/001258.SZ/2025/annual_report.txt,False
10,inspect_esg_tables,12,99.340278,103,248,145,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,"司业务转型升级的步伐。 二、报告期内公司所处行业情况 （一）所处行业基本情况 1.全国天然气行业发展态势 在“碳达峰、碳中和”国家双碳能源发展目标持续深入推进的大背景下，天然气作为优质清洁能源，在优化能源结 构、改善城市环境、加速城市现代化建设和提高人民群众生活水平等方面的重要性愈发凸显。高热值、低碳排放的天然 气已然成为我国向绿色低碳化产业转型的关键能源组成部分。 国家统计局数据显示，2025 年全年，我国天然气产量达 2,620.6 亿立方米，同比增长 6.3%，连续 9 年保持百亿立方 米增产势头，自主供应保障能力进一步增强。在消费端，根据国家发改委公布的数据，2025 年全国天然气表观消费量达 10 === PAGE 11 === 陕西美能清洁能源集团股份有限公司 2025 年年度报告全文 4,265.5 亿立方米，同比增长 0.1%。进口气方面，国家统计局数据显示，2025 年我国天然气进口量折算为 12,787 万吨， 同比下降 2.9%。总体而言，2025 年我国天然气市场供需关系有一定程度的缓和。 展望 2026 年，我国天然气行业供需两侧将继续协同发力。从供应侧来看，",1,data/text/001299.SZ/2025/annual_report.txt,False
