company_code,company_name,company_impact_score,gap_count,high_impact_gap_count,top_indicator_codes
00002.HK,CLP HOLDINGS,143.346875,26,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_E_HAZ_WASTE_INTENSITY
00003.HK,HK & CHINA GAS,143.346875,32,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE
00006.HK,POWER ASSETS,143.346875,35,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE
000096.SZ,广聚能源,143.346875,15,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
000554.SZ,泰山石油,143.346875,30,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
000682.SZ,东方电子,143.346875,29,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
001208.SZ,华菱线缆,143.346875,27,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
001258.SZ,立新能源,143.346875,15,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
001299.SZ,美能能源,143.346875,16,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
00182.HK,CONCORD NE,143.346875,29,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_E_HAZ_WASTE_INTENSITY
