company_code,report_year,indicator_code,base_value,ci_value,winner,base_authority,ci_authority,base_source_url,ci_source_url,base_source_file,ci_source_file,base_evidence,ci_evidence,policy
600346.SH,2025,Q_G_AR_TURNOVER,329.343430405,329.509367309,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"合并报表自动派生: 营业收入=2.00986e+11 | 应收账款 641,497,032.15 579,028,516.23 应收款项融资 6,534,848,806.60 6,628,663,752.25 预付款项 1,422,702,971.64 2,432,127,659.25 应收保费 应收分保账款 应收分保合同准备金 其他应收款 939,052,382.12 441,295,980.89 其中：应收利息 应收股 [auto-confirm:public-discl","English consolidated statements derived: I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 | Accounts receivable 641,497,032.15 579,028,516.23 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-form",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_ASSET_TURNOVER,0.750869867438,0.751248186875,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"合并报表自动派生: 营业收入=2.00986e+11 | 资产总计 262,258,989,534.38 273,082,869,863.40 流动负债： 短期借款 71,126,388,831.87 79,041,948,844.84 向中央银行借款 拆入资金 交易性金融负债 955,162,496.23 503,787,256.86 衍生金融负债 应付票据 3,889,528,459.42 11,447,306,278 [auto-confirm:public-discl","English consolidated statements derived: I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 | TOTAL ASSETS 262,258,989,534.38 273,082,869,863.40 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-for",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_COST_REVENUE_RATE,95.6950304058,95.646839554,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"合并利润/现金流量表自动派生: 营业收入=2.00986e+11 | 营业总成本 192,333,647,783.19 228,874,564,879.39 其中：营业成本 174,568,467,326.08 212,983,331,904.94 利息支出 手续费及佣金支出 退保金 赔付支出净额 提取保险责任准备金净额 保单红利支出 分保费用 税金及附加 8,968,754,179.62 6,423,607,854.88 销售费用 2 [auto-confirm:publi","English consolidated income statement derived: II. Total cost of operations 192,333,647,783.19 228,874,564,879.39 | I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 [auto-confirm:public-disclosure-v6] [research-only:ex",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_CURRENT_ASSET_TURNOVER,2.78298497945,2.78438716292,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"合并报表自动派生: 营业收入=2.00986e+11 | 流动资产合计 71,169,624,793.15 73,269,556,146.66 非流动资产： 发放贷款和垫款 债权投资 其他债权投资 长期应收款 长期股权投资 796,623,655.49 745,868,004.65 其他权益工具投资 其他非流动金融资产 投资性房地产 235,712,374.56 207,631,846.17 固定资产 148,630,305, [auto-confirm:public-dis","English consolidated statements derived: I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 | Total current assets 71,169,624,793.15 73,269,556,146.66 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;n",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_OPERATING_MARGIN,4.63095316808,4.62862107647,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"合并利润/现金流量表自动派生: 营业收入=2.00986e+11 | 营业利润 （亏损以 “ － ” 号填列） 9,307,569,178.39 8,549,503,513.11 加：营业外收入 122,430,867.01 278,592,852.79 减：营业外支出 9,607,770.35 8,310,703.66 四、 利润总额（亏损总额以“ － ”号填 列） 9,420,392,275.05 8,819,785,662.24 [auto-confirm:public","English consolidated income statement derived: III. Operating profit (“-” for loss) 9,307,569,178.39 8,549,503,513.11 | I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 [auto-confirm:public-disclosure-v6] [research-onl",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_REVENUE_GROWTH,-14.9349268452,-14.9378974329,base_kept,0|0|0|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,"营业收入 20,098,603.55 23,627,327.65 -14.93 23,479,067.24 [auto-confirm:public-disclosure-v6]","English consolidated income statement derived: I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-formal]",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_G_ROE,10.85,10.8688930635,base_kept,0|0|0|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,扣除非经常性损益后的基本每股收 益(元／股) 0.85 0.74 14.86 0.85 加权平均净资产收益率(%) 10.85 11.48 减少0.63个百分 点 12.24 扣除非经常性损益后的加权平均净 资产收益 [auto-confirm:public-disclosure-v6],"English consolidated statements derived: V. Net profit (“-” for loss) 7,074,154,414.10 7,053,006,882.53 | Total owners’ equity (or shareholders’ equity) attributable to the parent 66,773,313,601.27 63,399,177,245.12 Minority interes [auto-c",prefer_exchange_chinese_direct_then_ci_harvest
600346.SH,2025,Q_S_RD_RATE,0.81,0.808452281504,base_kept,0|0|0|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-15/600346_20260415_SQ4O.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,data/raw/600346.SH/2025/annual_report.pdf,data/raw/ci_collection/600346.SH/2025/annual_report.pdf,种：人民币 本期费用化研发投入 16.26 本期资本化研发投入 研发投入合计 16.26 研发投入总额占营业收入比例(%) 0.81 研发投入资本化的比重(%) (2).研发人员情况表 √适用 □不适用 公司研发人员的数量 [auto-confirm:public-disclosure-v6],"English consolidated income statement derived: Research and development expenses 1,625,694,869.64 1,702,884,233.90 Financial expense 4,383,391,966.00 5,233,634, | I. Total revenue from operations 201,087,300,615.49 236,400,576,222.39 [auto-",prefer_exchange_chinese_direct_then_ci_harvest
600438.SH,2025,Q_G_OPERATING_PROFIT_GROWTH,36.9179589379,-36.9179589379,base_kept,0|0|1|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_83VD.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_MZ0P.pdf,data/raw/600438.SH/2025/annual_report.pdf,data/raw/ci_collection/600438.SH/2025/annual_report.pdf,"合并利润/现金流量表自动派生: 营业收入=8.41283e+10 | 营业利润（亏损以“ － ”号填 列）-11,525,989,535.68 -8,418,172,185.07 加：营业外收入 105,657,810.08 63,178,714.40 减：营业外支出 250,611,928.83 328,322,984.29 四、利润总额（亏损总额以“ － ”号 填列）-11,670,943,654.43 -8,683,316,45 [auto-confirm:public","English consolidated income statement derived: III. Operating profit (“-” for loss) -11,525,989,535.68 -8,418,172,185.07 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-formal]",prefer_exchange_chinese_direct_then_ci_harvest
600438.SH,2025,Q_G_ROE,-21.95,-19.9453942925,base_kept,0|0|0|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_83VD.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_MZ0P.pdf,data/raw/600438.SH/2025/annual_report.pdf,data/raw/ci_collection/600438.SH/2025/annual_report.pdf,益后的基本每股 收益(元／股)-2.1935 -1.5832 -38.55 3.0239 加权平均净资产收益率(%)-21.95 -12.77 减少9.18个百分点 22.59 扣除非经常性损益后的加权平均 净资产收益 [auto-confirm:public-disclosure-v6],"English consolidated statements derived: V . Net profit (“-” for net loss) -10,900,882,964.61 -8,108,784,071.71 | Total owners’ equity (or shareholders' equity) 51,388,118,187.22 57,919,151,498.73 Total liabilities and owners’ equity (or sh",prefer_exchange_chinese_direct_then_ci_harvest
600438.SH,2025,Q_S_RD_RATE,2.62,1.31485509296,base_kept,0|0|0|1,0|1|1|0,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600438_20260430_83VD.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_MZ0P.pdf,data/raw/600438.SH/2025/annual_report.pdf,data/raw/ci_collection/600438.SH/2025/annual_report.pdf,"2,631.27 本期资本化研发投入 / 研发投入合计 2,206,852,631.27 研发投入总额占营业收入比例(%) 2.62 研发投入资本化的比重(%) / 注：以上研发投入包括研发费用和研发活动形成产品对应的成本 [auto-confirm:public-disclosure-v6]","English consolidated income statement derived: R&D cost 1,106,164,996.59 1,510,114,124.23 | I. Total operating revenue 84,128,281,703.14 91,994,404,333.54 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-formal]",prefer_exchange_chinese_direct_then_ci_harvest
