company_code,report_year,indicator_code,action,value,prior_value,source_url,source_file
000531.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.05,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/c6309277-b6b3-40a0-b88b-75d22262103b.PDF,data/raw/ci_collection/000531.SZ/2025/annual_report.pdf
000600.SZ,2025,Q_S_SAFETY_INVEST_RATE,added,0.65,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ba6a9b6c-0794-4a84-90c5-1a1ebb80389c.PDF,data/raw/ci_collection/000600.SZ/2025/esg_report.pdf
000937.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.1,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,data/raw/ci_collection/000937.SZ/2025/annual_report.pdf
000968.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.05,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/e8e58391-9f7d-4e3e-a20f-f91de853f3ff.PDF,data/raw/ci_collection/000968.SZ/2025/annual_report.pdf
001258.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.03,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/c4de7ed7-ade8-4b19-862a-a453dfedb428.PDF,data/raw/ci_collection/001258.SZ/2025/annual_report.pdf
00196.HK,2025,Q_S_RD_RATE,added,5.2,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/ci_collection/00196.HK/2025/annual_report.pdf
002028.SZ,2025,Q_E_WATER_INTENSITY,added,213.1,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF,data/raw/ci_collection/002028.SZ/2025/esg_report.pdf
002090.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.025,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/da4335ae-ea0c-4a70-9871-ecab8a547187.PDF,data/raw/ci_collection/002090.SZ/2025/annual_report.pdf
002364.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.1,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/d0543cb8-6de6-4606-9add-49a587d32b30.PDF,data/raw/ci_collection/002364.SZ/2025/annual_report.pdf
002487.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.087,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-06/6aa612fb-1857-49fb-80ae-34252bd385b7.PDF,data/raw/ci_collection/002487.SZ/2025/annual_report.pdf
002616.SZ,2025,Q_G_DEBT_ASSET_RATE,added,73.23,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/6c1bc172-edf2-4c40-b9b4-5ae4e1fe7c88.PDF,data/raw/ci_collection/002616.SZ/2025/annual_report.pdf
002706.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.2,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/6e5b941a-3c90-4bfa-916d-e46782edd6fa.PDF,data/raw/ci_collection/002706.SZ/2025/annual_report.pdf
002882.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.1,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/c8023ac6-3e17-46bd-8cf0-c28947ead96f.PDF,data/raw/ci_collection/002882.SZ/2025/annual_report.pdf
002893.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.091,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/232612b7-b24b-4132-ae8c-adf86a213da0.PDF,data/raw/ci_collection/002893.SZ/2025/annual_report.pdf
002911.SZ,2025,Q_S_DIVIDEND_PER_SHARE,added,0.27,,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/421ea001-e587-4e69-9c11-4f96f88b41b8.PDF,data/raw/ci_collection/002911.SZ/2025/annual_report.pdf
002927.SZ,2025,Q_S_SAFETY_INVEST_RATE,added,0.11,,https://static.cninfo.com.cn/finalpage/2026-04-29/1225244560.PDF,data/raw/ci_collection/002927.SZ/2025/esg_report.pdf
00600.HK,2025,Q_E_GHG_INTENSITY,added,12.5,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/ci_collection/00600.HK/2025/annual_report.pdf
01250.HK,2025,Q_S_SAFETY_INVEST_RATE,added,1.77,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302482.pdf,data/raw/ci_collection/01250.HK/2025/esg_report.pdf
