company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
01555.HK,MIE HOLDINGS,2,511,509,76.19,1.25,D,254.5,优先补证并复核缺失策略敏感性
920496.BJ,许昌智能,4,513,509,73.93,1.25,D,254.5,优先补证并复核缺失策略敏感性
00353.HK,ENERGY INTINV,3,505,502,73.96,2.5,D,251.0,优先补证并复核缺失策略敏感性
601857.SH,中国石油,38,527,489,55.46,1.25,D,244.5,优先补证并复核缺失策略敏感性
03395.HK,JX ENERGY,18,488,470,57.05,2.5,D,235.0,优先补证并复核缺失策略敏感性
01623.HK,HILONG,40,509,469,53.47,2.5,D,234.5,优先补证并复核缺失策略敏感性
920523.BJ,德瑞锂电,37,504,467,53.93,2.5,D,233.5,优先补证并复核缺失策略敏感性
00645.HK,ARES ASIA,14,476,462,57.37,3.75,D,231.0,优先补证并复核缺失策略敏感性
01083.HK,TG SMART ENERGY,11,473,462,59.25,3.75,D,231.0,优先补证并复核缺失策略敏感性
920010.BJ,凯添燃气,34,495,461,53.89,3.75,D,230.5,优先补证并复核缺失策略敏感性
03633.HK,ZHONGYU ENERGY,31,484,453,53.67,3.75,D,226.5,优先补证并复核缺失策略敏感性
920770.BJ,艾能聚,34,472,438,53.09,3.75,D,219.0,优先补证并复核缺失策略敏感性
00006.HK,POWER ASSETS,74,507,433,50.08,2.5,D,216.5,优先补证并复核缺失策略敏感性
600875.SH,东方电气,29,455,426,52.73,3.75,D,213.0,优先补证并复核缺失策略敏感性
920046.BJ,亿能电力,15,425,410,55.6,5.0,D,205.0,优先补证并复核缺失策略敏感性
01621.HK,VICO INTL HLDGS,84,490,406,48.72,3.75,D,203.0,优先补证并复核缺失策略敏感性
01229.HK,NAN NAN RES,1,398,397,72.46,5.0,D,198.5,优先补证并复核缺失策略敏感性
00384.HK,CHINA GAS HOLD,75,466,391,48.23,5.0,D,195.5,优先补证并复核缺失策略敏感性
600023.SH,浙能电力,56,447,391,26.35,27.5,D,195.5,优先补证并复核缺失策略敏感性
00002.HK,CLP HOLDINGS,35,423,388,51.49,6.25,D,194.0,优先补证并复核缺失策略敏感性
00554.HK,HANS GP HLDGS,25,412,387,52.16,6.25,D,193.5,优先补证并复核缺失策略敏感性
