company_code,company_name,report_year,document_type,source_url
000009.SZ,中国宝安,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/3d0cad8e-7fd7-4c96-9879-a7692046036f.PDF
000009.SZ,中国宝安,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/b002da8f-bdb7-4e8a-8eac-9ae9915cf23e.PDF
00002.HK,CLP HOLDINGS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0307/2025030700409.pdf
00002.HK,CLP HOLDINGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf
000027.SZ,深圳能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/e81dfe3f-d725-44b0-a5a9-90166c2caba4.PDF
000027.SZ,深圳能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/6f7301c7-7dd9-417b-8c1d-c8e32fe5ab83.PDF
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042300667.pdf
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf
00003.HK,HK & CHINA GAS,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0319/2025031900552.pdf
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301141.pdf
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301217.pdf
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301282.pdf
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301446.pdf
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801518.pdf
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801564.pdf
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf
000037.SZ,深南电A,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/ab7b9153-90c7-417a-8a30-591e987fe1b4.PDF
000049.SZ,德赛电池,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/262ee139-e059-4704-8501-654892e27e40.PDF
00006.HK,POWER ASSETS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0422/2025042200539.pdf
