company_code,company_name,report_year,document_type,source_url,error
000862.SZ,银星能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/435c0b5b-7f7d-4e94-9262-7d78ffb4b7b5.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/435c0b5b-7f7d-4e94-9262-7d78ffb4b7b5.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/435c0b5b-7f7d-4e94-9262-7d78ffb4b7b5.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002015.SZ,协鑫能科,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/9e947d1c-716e-4a41-bc89-b7a09589c7e3.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/9e947d1c-716e-4a41-bc89-b7a09589c7e3.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/9e947d1c-716e-4a41-bc89-b7a09589c7e3.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
001299.SZ,美能能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c6c93731-14e4-494f-a0f3-82d9ef9cb3ba.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c6c93731-14e4-494f-a0f3-82d9ef9cb3ba.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c6c93731-14e4-494f-a0f3-82d9ef9cb3ba.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002028.SZ,思源电气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
000937.SZ,冀中能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ac53922b-6401-4521-a7dc-db1cdc1c5c3e.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ac53922b-6401-4521-a7dc-db1cdc1c5c3e.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ac53922b-6401-4521-a7dc-db1cdc1c5c3e.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
000922.SZ,佳电股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/cab02453-b984-402a-8d4c-3305d426bc8f.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/cab02453-b984-402a-8d4c-3305d426bc8f.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/cab02453-b984-402a-8d4c-3305d426bc8f.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
001301.SZ,尚太科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/5e458fe1-7fbd-4298-8c19-7d8c06369852.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/5e458fe1-7fbd-4298-8c19-7d8c06369852.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/5e458fe1-7fbd-4298-8c19-7d8c06369852.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
000899.SZ,赣能股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/d7844979-1d4e-4f50-9c26-9bfafa049d6e.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/d7844979-1d4e-4f50-9c26-9bfafa049d6e.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/d7844979-1d4e-4f50-9c26-9bfafa049d6e.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002090.SZ,金智科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/195aed1b-6b27-4970-8e16-22939e7e4e6c.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/195aed1b-6b27-4970-8e16-22939e7e4e6c.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/195aed1b-6b27-4970-8e16-22939e7e4e6c.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002074.SZ,国轩高科,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/80ba71d6-58ca-40b2-9904-72257b290b41.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/80ba71d6-58ca-40b2-9904-72257b290b41.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/80ba71d6-58ca-40b2-9904-72257b290b41.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002128.SZ,电投能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3fd3da22-8fdb-4e3d-9b45-e4556ab73377.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3fd3da22-8fdb-4e3d-9b45-e4556ab73377.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3fd3da22-8fdb-4e3d-9b45-e4556ab73377.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002202.SZ,金风科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/ae7c64ee-35d0-4a13-9b80-34c50e1c3254.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/ae7c64ee-35d0-4a13-9b80-34c50e1c3254.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/ae7c64ee-35d0-4a13-9b80-34c50e1c3254.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002245.SZ,蔚蓝锂芯,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-14/031edb73-92c6-4428-8803-cf916537ff83.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-14/031edb73-92c6-4428-8803-cf916537ff83.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-14/031edb73-92c6-4428-8803-cf916537ff83.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002129.SZ,TCL中环,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/6a9e6b34-5cb2-4444-a69b-ffc53731bfbf.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/6a9e6b34-5cb2-4444-a69b-ffc53731bfbf.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-25/6a9e6b34-5cb2-4444-a69b-ffc53731bfbf.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002340.SZ,格林美,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/93f3667c-ac16-408f-8b9b-1c4ee717e477.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/93f3667c-ac16-408f-8b9b-1c4ee717e477.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/93f3667c-ac16-408f-8b9b-1c4ee717e477.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002267.SZ,陕天然气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0825c9f9-0fff-4eba-844a-9f3000fb520a.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0825c9f9-0fff-4eba-844a-9f3000fb520a.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/0825c9f9-0fff-4eba-844a-9f3000fb520a.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002459.SZ,晶澳科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/4047f072-230c-4aec-b4b8-ae5e6c23ed92.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002300.SZ,太阳电缆,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/4f158c4a-ba06-45c1-86dc-2b8dda170925.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/4f158c4a-ba06-45c1-86dc-2b8dda170925.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/4f158c4a-ba06-45c1-86dc-2b8dda170925.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002487.SZ,大金重工,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/629c19b9-8e8d-4eaf-b7ac-a6f5d823c277.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/629c19b9-8e8d-4eaf-b7ac-a6f5d823c277.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/629c19b9-8e8d-4eaf-b7ac-a6f5d823c277.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002350.SZ,北京科锐,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/10182db2-73fe-4b97-813f-1cdf9608b746.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/10182db2-73fe-4b97-813f-1cdf9608b746.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/10182db2-73fe-4b97-813f-1cdf9608b746.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002493.SZ,荣盛石化,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002506.SZ,协鑫集成,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
