company_code,company_name,error
300407.SZ,凯发电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300073.SZ,当升科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301238.SZ,瑞泰新材,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301150.SZ,中一科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
001299.SZ,美能能源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301295.SZ,美硕科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000600.SZ,建投能源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301157.SZ,华塑科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002953.SZ,日丰股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002276.SZ,万马股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301222.SZ,浙江恒威,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301292.SZ,海科新源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301388.SZ,欣灵电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301002.SZ,崧盛股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300080.SZ,易成新能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002169.SZ,智光电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002259.SZ,升达林业,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300360.SZ,炬华科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300438.SZ,鹏辉能源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002245.SZ,蔚蓝锂芯,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000049.SZ,德赛电池,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300769.SZ,德方纳米,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301386.SZ,未来电器,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301179.SZ,泽宇智能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000009.SZ,中国宝安,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002335.SZ,科华数据,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300593.SZ,新雷能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000554.SZ,泰山石油,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002527.SZ,新时达,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000791.SZ,甘肃能源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
001283.SZ,豪鹏科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301266.SZ,宇邦新材,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301291.SZ,明阳电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301012.SZ,扬电科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002028.SZ,思源电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301063.SZ,海锅股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000899.SZ,赣能股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301278.SZ,快可电子,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301358.SZ,湖南裕能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000407.SZ,胜利股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300776.SZ,帝尔激光,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301511.SZ,德福科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300265.SZ,通光线缆,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301210.SZ,金杨精密,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002623.SZ,亚玛顿,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002015.SZ,协鑫能科,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300317.SZ,珈伟新能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002487.SZ,大金重工,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002346.SZ,柘中股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301516.SZ,中远通,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002733.SZ,雄韬股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301349.SZ,信德新材,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300617.SZ,安靠智电,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002580.SZ,圣阳股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002823.SZ,凯中精密,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301120.SZ,新特电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301226.SZ,祥明智能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301502.SZ,华阳智能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300514.SZ,友讯达,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300932.SZ,三友联众,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300870.SZ,欧陆通,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300907.SZ,康平科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300153.SZ,科泰电源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300619.SZ,金银河,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300660.SZ,江苏雷利,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301361.SZ,众智科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
